ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
8093	VERB	falliri			fallire																								
8094	NOUN	fami	s	f	fame																								
8095	NOUN	famigghia	s	f	famiglia									famiglia															
8096	NOUN	famiglia	s	f	famiglia									famigghia															
8097	VERB	fari			fare																								
8098	VERB	fàciri			fare																								
8099	VERB	diri			dire									riri															
8100	VERB	riri			dire									diri															
8101	VERB	dìciri			dire																								
8102	VERB	cunùsciri			conoscere									canùsciri															
8103	VERB	canùsciri			conoscere									cunùsciri															
8104	NOUN	farmacìa	s	f	farmacia																								
8105	NOUN	favuri	s	m	favore									fauri	faguri														
8106	NOUN	faguri	s	m	favore									favuri	fauri														
8107	ADJ	filici	s	m	felice																								
8108	NOUN	ferru	s	m	ferro									fierru															
8109	NOUN	fierru	s	m	ferro									ferru															
8110	NOUN	festa	s	f	festa																								
8111	NOUN	zitu	s	m	ragazzo	fidanzato																							
8112	NOUN	zita	s	f	ragazza	fidanzata								fimmina chi avi nu zitu	prumissa sposa														
8113	NOUN	fìcutu	s	m	fegato									fìcatu															
8114	NOUN	figghia	s	f	figlia									figlia															
8115	NOUN	figlia	s	f	figlia									figghia															
8116	NOUN	fìmmina	s	f	donna	femmina																							
8117	NOUN	finestra	s	f	finestra																								
8118	VERB	finiri			finire																								
8119	NOUN	finocchiu	s	m	finocchio																								
8120	NOUN	focu	s	m	fuoco									fuocu															
8121	NOUN	fuocu	s	m	fuoco									focu															
8122	NOUN	forza	s	f	forza																								
8123	ADJ	fràgili	s	m	fragile									fràggili															
8124	NOUN	frasi	s	f	frase									frasa															
8125	NOUN	frasa	s	f	frase									frasi															
8126	ADJ	friquenti	s	m	frequente																								
8127	NOUN	frizzioni	s	f	frizione	massaggio								frizioni															
8128	NOUN	frizioni	s	f	frizione	massaggio								frizzioni															
8129	NOUN	fudda	s	f	folla																								
8130	NOUN	fumu	s	m	fumo																								
8131	NOUN	fungia	s	f	fungo	broncio	muso							funcia															
8132	NOUN	funirali	s	m	funerale																								
8133	ADJ	furiusu	s	m	furioso																								
8134	NOUN	furmaggiu	s	m	formaggio									frummaggiu	frumaggiu														
8135	NOUN	frummaggiu	s	m	formaggio									furmaggiu	frumaggiu														
8136	NOUN	frumaggiu	s	m	formaggio	cacio								furmaggiu	frummaggiu														
8137	NOUN	furnu	s	m	forno									funnu															
8138	NOUN	furtuna	s	f	fortuna																								
8139	NOUN	cabbinettu	s	m	gabinetto	cabinetto								cabinettu	gabbinettu	gabinettu													
8140	NOUN	cabinettu	s	m	gabinetto	cabinetto								cabbinettu	gabbinettu	gabinettu													
8141	NOUN	gabbinettu	s	m	gabinetto	cabinetto								cabinettu	cabbinettu	gabinettu													
8142	NOUN	gabinettu	s	m	gabinetto	cabinetto								cabinettu	cabbinettu	gabbinettu													
8143	NOUN	jaddu	s	m	gallo									addu	gaddu	iaddu													
8144	NOUN	iaddu	s	m	gallo									jaddu	gaddu	addu													
8145	NOUN	gaddina	s	f	gallina									addina	jaddina	iaddina													
8146	NOUN	addina	s	f	gallina									gaddina	jaddina	iaddina													
8147	NOUN	jaddina	s	f	gallina									iaddina	gaddina	addina													
8148	NOUN	iaddina	s	f	gallina									jaddina	gaddina	addina													
8149	NOUN	gamma	s	f	gamba									jamma	iamma														
8150	NOUN	jamma	s	f	gamba									iamma	gamma														
8151	NOUN	iamma	s	f	gamba									jamma	gamma														
8152	NOUN	gattu	s	m	gatto									attu	jattu	iattu													
8153	NOUN	jattu	s	m	gatto									attu	gattu	iattu													
8154	NOUN	iattu	s	m	gatto									attu	jattu	gattu													
8155	NOUN	attu	s	m	atto																								
8156	NOUN	attu	s	m	gatto									gattu	jattu	iattu													
8157	NOUN	gattareddu	s	m	gattino									attareddu	jattareddu	iattareddu													
8158	NOUN	attareddu	s	m	gattino									gattareddu	jattareddu	iattareddu													
8159	NOUN	jattareddu	s	m	gattino									attareddu	gattareddu	iattareddu													
8160	NOUN	iattareddu	s	m	gattino									attareddu	jattareddu	gattareddu													
8161	NOUN	jattareddi	p		respiro stertoreo	difficoltà di respirazione	sibilo							iattareddi	gattareddi														
8162	NOUN	iattareddi	p		respiro stertoreo	difficoltà di respirazione	sibilo							jattareddi	gattareddi														
8163	NOUN	gatta	s	f	gatta									atta	jatta	iatta													
8164	NOUN	atta	s	f	gatta									gatta	jatta	iatta													
8165	NOUN	jatta	s	f	gatta									atta	gatta	iatta													
8166	NOUN	iatta	s	f	gatta									atta	jatta	gatta													
8167	ADJ	ginirali	s	m	generale																								
8168	ADJ	ginirusu	s	m	generoso																								
8169	NOUN	ginituri	s	m	genitore																								
8170	NOUN	geniu	s	m	genio	genio																							
8171	NOUN	genti	s	f	gente																								
8172	NOUN	genti	p	f	gente																								
8173	ADJ	gintili	s	m	gentile																								
8174	ADV	jà			già									ià	già														
8175	ADV	ià			già									jà	già														
8176	ADV	già			già									jà	ià														
8177	NOUN	giacca	s	f	giacca																								
8178	ADJ	giallu	s	m	giallo																								
8179	NOUN	giornu	s	m	giorno									jornu	ghiornu	iornu	ionnu	jonnu	giurnu	ghiurnu									
8180	NOUN	jornu	s	m	giorno									iornu	ionnu	jonnu	ghiornu	giornu	giurnu	ghiurnu									
8181	NOUN	jardinu	s	m	giardino									iardinu	giardinu														
8182	NOUN	giardinu	s	m	giardino									jardinu	iardinu														
8183	NOUN	iardinu	s	m	giardino									jardinu	giardinu														
8184	NOUN	gileccu	s	m	gilè	panciotto								cileccu															
8185	ADJ	gilusu	s	m	geloso																								
8186	NOUN	gioja	s	f	gioia									gioia															
8187	NOUN	gioia	s	f	gioia									gioja															
8188	VERB	girari			girare									giriari															
8189	NOUN	giru	s	m	giro																								
8190	ADJ	cumpretu	s	m	completo									cumpletu															
8191	ADJ	cumpletu	s	m	completo									cumpretu															
8192	NOUN	giucàttulu	s	m	giocattolo									iucàttulu	jucàttulu														
8193	NOUN	jucàttulu	s	m	giocattolo									iucàttulu	giucàttulu														
8194	NOUN	iucàttulu	s	m	giocattolo									jucàttulu	giucàttulu														
8195	NOUN	giugnu	s	m	giugno									iugnu	jugnu	njugnu	gnugnu												
8196	VERB	giurari			giurare																								
8197	VERB	giustificari			giustificare																								
8198	NOUN	giustizzia	s	f	giustizia																								
8199	NOUN	frivaru	s	m	febbraio																								
8200	NOUN	marzu	s	m	marzo																								
8201	NOUN	aprili	s	m	aprile																								
8202	NOUN	dumìnica	s	f	domenica									rumìnica	ruminicarìa	duminicarìa	duminicadìa												
8203	NOUN	rumìnica	s	f	domenica									dumìnica	ruminicarìa	duminicarìa	duminicadìa												
8204	NOUN	duminicadìa	s	f	domenica									rumìnica	ruminicarìa	duminicarìa	dumìnica												
8205	NOUN	duminicarìa	s	f	domenica									rumìnica	ruminicarìa	duminicadìa	dumìnica												
8206	NOUN	ruminicarìa	s	f	domenica									rumìnica	duminicadìa	duminicarìa	dumìnica												
8207	NOUN	sàbbatu	s	m	sabato									sàbatu	sàbbutu	sàbutu	sàbbitu	sàbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8208	NOUN	sàbatu	s	m	sabato									sàbbatu	sàbbutu	sàbutu	sàbbitu	sàbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8209	NOUN	sàbbutu	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbitu	sàbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8210	NOUN	sàbutu	s	m	sabato									sàbatu	sàbbatu	sàbbutu	sàbbitu	sàbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8211	NOUN	sàbbitu	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8212	NOUN	sàbitu	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbbitu	sabatudìa	sabbatudìa	sabbaturìa	sabaturìa							
8213	NOUN	sabatudìa	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbitu	sàbbitu	sabbatudìa	sabbaturìa	sabaturìa							
8214	NOUN	sabbatudìa	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbitu	sàbbitu	sabatudìa	sabbaturìa	sabaturìa							
8215	NOUN	sabbaturìa	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbitu	sàbbitu	sabbatudìa	sabatudìa	sabaturìa							
8216	NOUN	sabaturìa	s	m	sabato									sàbatu	sàbbatu	sàbutu	sàbbutu	sàbitu	sàbbitu	sabbatudìa	sabatudìa	sabbaturìa							
8217	NOUN	jovi	s	m	giovedì									juvirì	jovirìa	giuvidì	iuvidì	juvidì	iuvirì	jovidìa	iovi	juovi	iuovi						
8218	VERB	amari			amare																								
8219	VERB	vuliri beni			amare																								
8220	PRON	iddu	s	m	egli	lui	ei	esso																					
8221	NOUN	acitalena	s	f	acetilene									citalena															
8222	NOUN	citalena	s	f	acetilene									acitalena															
8223	NOUN	cuteddu	s	m	coltello																								
8224	NOUN	nnimali	s	m	animale	bestia								animali															
8225	NOUN	apparecchiu	s	m	apparecchio aeroplano	aereo																							
8226	NOUN	ariupranu	s	m	apparecchio aeroplano	aereo								ariuplanu															
8227	NOUN	aèriu	s	m	apparecchio aeroplano	aereo																							
8228	NOUN	mmernu	s	m	inverno									nvernu	mmiernu	invernu													
8229	NOUN	nvernu	s	m	inverno									mmernu	mmiernu	invernu													
8230	NOUN	pappagaddu	s	m	pappagallo									pappaiaddu	pappajaddu														
8231	NOUN	pappaiaddu	s	m	pappagallo									pappagaddu	pappajaddu														
8232	NOUN	pappajaddu	s	m	pappagallo									pappagaddu	pappaiaddu														
8233	NOUN	econumìa	s	f	economia									ecunumìa	canumìa														
8234	NOUN	ecunumìa	s	f	economia									econumìa	canumìa														
8235	NOUN	canumìa	s	f	economia									ecunumìa	econumìa														
8236	NUM	zeru	s	m	zero																								
8237	NOUN	pumu	s	m	mela									pummu	puma														
8238	NOUN	avina	s	f	avena									aina															
8239	NOUN	rusignolu	s	m	usignolo																								
8240	NOUN	museu	s	m	museo																								
8241	NOUN	opiraiu	s	m	operaio	lavoratore	lavorante							operaiu															
8242	NOUN	operaiu	s	m	operaio	lavoratore	lavorante							opiraiu															
8243	NOUN	muschea	s	f	moschea	moscheta																							
8244	ADV	avannu			quest'anno									aguannu															
8245	ADP	pi u	s	m	per il	pello	pel							p'û	pô	p'ô	p'u	p'o	pû	pi lu									
8246	ADP	pi a	s	f	per la	pella								p'â	p'a	pâ	pi la												
8247	ADP	pi i	p	m	per i	per gli	pei							p'î	p'i	pî	pê	p'ê	p'e	pi li									
8248	ADP	pi i	p	f	per le	pelle								p'î	p'i	pî	pê	p'ê	p'e	pi li									
8249	ADP	cu u	s	m	con il	con lo	collo							c'û	c'u	cû	cô	c'ô	c'o	cullu	cu lu								
8250	ADP	cu a	s	f	con la	colla								c'â	c'a	câ	culla	cu la											
8251	ADP	cu i	p	m	con i	coi	con gli	cogli						ch'î	chê	ch'ê	ch'i	ch'e	chî	culli	cu li								
8252	ADP	cu i	p	f	con le	colle								ch'î	chê	ch'ê	ch'i	ch'e	chî	culli	cu li								
8253	ADP	nda u	s	m	nel	nello								nd'û	nd'u	ndô	nd'ô	nd'o	ndû	ndi lu	nda lu	ndi u							
8254	ADP	ndi u	s	m	nel	nello								nd'û	nd'u	ndô	nd'ô	nd'o	ndû	nda lu	nda u	ndi lu							
8255	ADP	nda a	s	f	nella									nd'â	nd'a	ndâ	ndi la	ndi a	nda la										
8256	ADP	ndi a	s	f	nella									nd'â	nd'a	ndâ	nda la	ndi la	nda a										
8257	ADP	nda i	p	m	nei	negli								nd'ê	nd'e	ndê	nd'î	nd'i	ndî	ndi li	nda li	ndi i							
8258	ADP	nda i	p	f	nelle									nd'ê	nd'e	ndê	nd'î	nd'i	ndî	ndi li	nda li	ndi i							
8259	ADP	ndi i	p	m	nei	negli								nd'ê	nd'e	ndê	nd'î	nd'i	ndî	nda li	nda i	ndi li							
8260	ADP	ndi i	p	f	nelle									nd'ê	nd'e	ndê	nd'î	nd'i	ndî	nda li	nda i	ndi li							
8261	ADP	nna u	s	m	nel	nello								nn'û	nn'u	nnô	nn'ô	nn'o	nnû	nni lu	nna lu	nni u							
8262	ADP	nni u	s	m	nel	nello								nn'û	nn'u	nnô	nn'ô	nn'o	nnû	nna lu	nna u	nni lu							
8263	ADP	nna a	s	f	nella									nn'â	nn'a	nnâ	nni la	nni a	nna la										
8264	ADP	nni a	s	f	nella									nn'â	nn'a	nnâ	nna la	nni la	nna a										
8265	ADP	nna i	p	m	nei	negli								nn'ê	nn'e	nnê	nn'î	nn'i	nnî	nni li	nna li	nni i							
8266	ADP	nna i	p	f	nelle									nn'ê	nn'e	nnê	nn'î	nn'i	nnî	nni li	nna li	nni i							
8267	ADP	nni i	p	m	nei	negli								nn'ê	nn'e	nnê	nn'î	nn'i	nnî	nna li	nna i	nni li							
8268	ADP	nni i	p	f	nelle									nn'ê	nn'e	nnê	nn'î	nn'i	nnî	nna li	nna i	nni li							
8269	ADP	nta u	s	m	nel	nello								nt'û	nt'u	ntô	nt'ô	nt'o	ntû	nti lu	nta lu	nti u							
8270	ADP	nti u	s	m	nel	nello								nt'û	nt'u	ntô	nt'ô	nt'o	nta lu	ntû	nta u	nti lu							
8271	ADP	nta a	s	f	nella									nt'â	nt'a	ntâ	nti la	nti a	nta la										
8272	ADP	nti a	s	f	nella									nt'â	nt'a	nta la	ntâ	nti la	nta a										
8273	ADP	nta i	p	m	nei	negli								nt'î	nt'i	ntê	nt'ê	nt'e	ntî	nti li	nta li	nti i							
8274	ADP	nta i	p	f	nelle									nt'î	nt'i	ntê	nt'ê	nt'e	ntî	nti li	nta li	nti i							
8275	ADP	nti i	p	m	nei	negli								nt'î	nt'i	ntê	nt'ê	nt'e	ntî	nta li	nta i	nti li							
8276	ADP	nti i	p	f	nelle									nt'î	nt'i	ntê	nt'ê	nt'e	ntî	nta li	nta i	nti li							
8277	ADV	ccabbanna			di questa parte									a cca bbanna	a cca banna	accabbanna	accabbanna												
8278	NOUN	labbru	s	m	labbro																								
8279	NOUN	èpuca	s	f	epoca									èbbuca	èbbica														
8280	NOUN	jìritu	s	m	dito									jìditu	ìritu	ìditu	itu	jitu											
8281	NOUN	ìditu	s	m	dito									jìditu	jìritu	ìritu	itu	jitu											
8282	NOUN	jitu	s	m	dito									jìditu	jìritu	ìditu	itu	ìritu											
8283	NOUN	àbacu	s	m	abaco									àbbacu															
8284	NOUN	abacu	s	m	quiete									abbacu															
8285	NOUN	àrbulu	s	m	albero									àrburu	àrvuru	àrbiru	àrvulu	àrbilu											
8286	NOUN	àrvuru	s	m	albero									àrburu	àrbiru	àrbulu	àrvulu	àrbilu											
8287	NOUN	àrburu	s	m	albero									àrbiru	àrvuru	àrbulu	àrvulu	àrbilu											
8288	NOUN	àstricu	s	m	terrazza	lastrico								àstracu	àstrucu														
8289	NOUN	àstrucu	s	m	terrazza	lastrico								àstricu	àstracu														
8290	NOUN	citrolu	s	m	cetriolo									tritolu															
8291	NOUN	piricocu	s	m	albicocca									varcocu	barcocu	fraccocu	pricocu	pircocu	braccoccu	vircocu	vircuocu								
8292	NOUN	bastasu	s	m	scaricatore	facchino	portatore	bastagio	bastaggio	vastaso	persona volgare	persona maleducata		vastasi	bastasi	vastasu													
8293	NOUN	bastasi	s	m	scaricatore	facchino	portatore	bastagio	bastaggio	vastaso	persona volgare	persona maleducata		vastasi	vastasu	bastasu													
8294	NOUN	bastasi	p	m	scaricatori	facchini	portatori	bastagi	bastaggi	vastasi	persone volgari	persone maleducate		vastasi															
8295	NOUN	vastasi	s	m	scaricatore	facchino	portatore	bastagio	bastaggio	vastaso	persona volgare	persona maleducata		bastasi	vastasu	bastasu													
8296	NOUN	vastasi	p	m	scaricatori	facchini	portatori	bastagi	bastaggi	vastasi	persone volgari	persone maleducate		bastasi															
8297	NOUN	vèttuli	p	f	bisacce									bèrtuli	bèttuli	vèrtuli													
8298	NOUN	caudanu	s	m	caldano									quadanu															
8299	NOUN	caudararu	s	m	calderaio									callararu	quadararu														
8300	NOUN	causetti	p	f	calze									canzetti	quasetti														
8301	NOUN	quinnena	s	f	proroga di quindici giorni accordata al debitore									quindena															
8302	NOUN	umirtati	s	f	umiltà									umirtà															
8303	NOUN	umirtati	s	f	omertà									umirtà															
8304	NOUN	umirtà	s	f	umiltà									umirtati															
8305	NOUN	umirtà	s	f	omertà									umirtati															
8306	NOUN	ermisinu	s	m	drappo leggero	ermisino	ermesino	ormesino	ormisino	ormosino	armesino	armosino	armisino	ormisinu															
8307	NOUN	orubeddu	s	m	orpello									orubbeddu															
8308	NOUN	pàggina	s	f	pagina									pàgina															
8309	NOUN	pàgina	s	f	pagina									pàggina															
8310	NOUN	uttùviru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8311	NOUN	ottùviru	s	m	ottobre									uttùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8312	NOUN	uttùvuru	s	m	ottobre									ottùviru	ottùvuru	uttùviru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8313	NOUN	uttùviri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviru	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8314	NOUN	uttùvaru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùviru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8315	NOUN	ottùvuru	s	m	ottobre									ottùviru	uttùviru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8316	NOUN	attùviru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	uttùviru	attùvaru	attuvru	ottùviri
8317	NOUN	attùvaru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	uttùviru	attuvru	ottùviri
8318	NOUN	ottùviri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttuvru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	uttùviru
8319	NOUN	uttuvru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8320	NOUN	ottuvru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	uttuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8321	NOUN	attuvru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	uttuvru	ottùviri
8322	NOUN	ottubbru	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	ottuvru	ottuvri	uttuvru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8323	NOUN	uttuvri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvru	uttùviru	uttùvaru	ottuvru	ottuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8324	NOUN	ottuvri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvru	uttùviru	uttùvaru	ottuvru	uttuvri	ottubbru	ottubbri	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8325	NOUN	ottubbri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	ottuvru	ottuvri	uttuvru	ottubbru	uttubbri	attùviru	attùvaru	attuvru	ottùviri
8326	NOUN	uttubbri	s	m	ottobre									ottùviru	ottùvuru	uttùvuru	uttùviri	uttuvri	uttùviru	uttùvaru	ottuvru	ottuvri	uttuvru	ottubbri	ottubbru	attùviru	attùvaru	attuvru	ottùviri
8327	NOUN	jinocchiu	s	m	ginocchio									dinocchiu	inocchiu	rinocchiu	ginocchiu												
8328	NOUN	rinocchiu	s	m	ginocchio									dinocchiu	jinocchiu	inocchiu	ginocchiu												
8329	NOUN	ginocchiu	s	m	ginocchio									dinocchiu	jinocchiu	rinocchiu	inocchiu												
8330	NOUN	jocu	s	m	gioco									iocu	giocu														
8331	NOUN	giocu	s	m	gioco									jocu	iocu														
8332	NOUN	joia	s	f	gioia									joja	ioia	ioja													
8333	NOUN	joja	s	f	gioia									ioia	joia	ioja													
8334	NOUN	ioja	s	f	gioia									joja	joia	ioia													
8335	NOUN	jippuni	s	m	giubbetto									ippuni	juppuni	iuppuni													
8336	NOUN	iuppuni	s	m	giubbetto									jippuni	juppuni	ippuni													
8337	NOUN	juppuni	s	m	giubbetto									jippuni	ippuni	iuppuni													
8338	NOUN	ghiru	s	m	ghiro									iru	agghiru														
8339	NOUN	agghiru	s	m	ghiro									ghiru	iru														
8340	NOUN	jitali	s	m	ditale									itali	jiditali	jiritali	iritali	iditali											
8341	NOUN	jiditali	s	m	ditale									jitali	itali	jiritali	iritali	iditali											
8342	NOUN	jiritali	s	m	ditale									jitali	itali	jiditali	iritali	iditali											
8343	NOUN	iditali	s	m	ditale									jitali	itali	jiritali	iritali	jiditali											
8344	NOUN	iritali	s	m	ditale									jitali	itali	jiritali	iditali	jiditali											
8345	NOUN	limiuni	s	m	limone									lumiuni	ddimiuni														
8346	NOUN	teda	s	f	teda									deda	dera														
8347	NOUN	disaciu	s	m	disagio									diciaciu	disagiu	disaggiu													
8348	NOUN	disagiu	s	m	disagio									diciaciu	disaciu	disaggiu													
8349	NOUN	disaggiu	s	m	disagio									diciaciu	disaciu	disagiu													
8350	NOUN	agiu	s	m	agio									aciu	aggiu														
8351	NOUN	aggiu	s	m	agio									aciu	agiu														
8352	NOUN	ruluri	s	m	dolore									duluri	riluri	diluri													
8353	NOUN	abirintu	s	m	labirinto									labirintu	labbirintu	abbirintu	labberintu	laberintu											
8354	NOUN	labirintu	s	m	labirinto									labbirintu	abirintu	abbirintu	labberintu	laberintu											
8355	NOUN	làndaru	s	m	oleandro									landru															
8356	NOUN	languri	s	m	languore									langura															
8357	NOUN	làrima	s	f	lacrima									larma	làgrima	làcrima	lasma												
8358	NOUN	làgrima	s	f	lacrima									larma	làrima	làcrima	lasma												
8359	NOUN	làcrima	s	f	lacrima									larma	làrima	làgrima	lasma												
8360	NOUN	latrunarìa	s	f	ladroneria									larrunarìa															
8361	NOUN	larruni	s	m	ladro	ladrone								latruni															
8362	NOUN	latruni	s	m	ladro	ladrone								larruni															
8363	NOUN	linturi	s	m	lentore									lenturi															
8364	NOUN	litami	s	m	letame	concime								letami															
8365	NOUN	luveri	s	m	pigione									lueru	lueri														
8366	NOUN	littra	s	f	lettera									lìttira															
8367	NOUN	libbra	s	f	libra									libra															
8368	NOUN	libbra	s	f	libbra									lìvira															
8369	NOUN	adenza	s	f	udienza	ascolto	attenzione							arenzia	adenzia	arenza	audienza	aurienzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
8370	NOUN	arenzia	s	f	udienza	ascolto	attenzione							adenzia	adenza	arenza	audienza	aurienzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
8371	NOUN	audienza	s	f	udienza	ascolto	attenzione							arenzia	adenza	arenza	adenzia	aurienzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
8372	NOUN	arenza	s	f	udienza	ascolto	attenzione							arenzia	adenza	adenzia	audienza	aurienzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
8373	NOUN	aurienzia	s	f	udienza	ascolto	attenzione							arenzia	adenza	arenza	audienza	adenzia	denzia	denza	audenza	audenzia	audienzia	aurenzia					
8374	NOUN	denzia	s	f	udienza	ascolto	attenzione							arenzia	adenza	arenza	audienza	aurienzia	adenzia	denza	audenza	audenzia	audienzia	aurenzia					
8375	NOUN	denza	s	f	udienza	ascolto	attenzione							arenzia	adenza	arenza	audienza	aurienzia	denzia	adenzia	audenza	audenzia	audienzia	aurenzia					
8376	NOUN	cucumidda	s	f	camomilla	camamilla								agumidda	aumidda	camumidda	calumidda	cacumidda											
8377	NOUN	calumidda	s	f	camomilla	camamilla								agumidda	aumidda	camumidda	cacumidda	cucumidda											
8378	NOUN	camumidda	s	f	camomilla	camamilla								agumidda	aumidda	cacumidda	calumidda	cucumidda											
8379	NOUN	auggi			trogolo									augi															
8380	NOUN	nviluppu	s	m	inviluppo									anviluppu															
8381	NOUN	arabbli	s	m	specie di acero									arabli															
8382	NOUN	assaju	s	m	assaggio									assaggiu	assaiu														
8383	NOUN	assaggiu	s	m	assaggio									assaiu	assaju														
8384	ADJ	onnìvuru	s	m	onnivoro																								
8385	NOUN	alluminiu	s	m	alluminio																								
8386	NOUN	anatumìa			anatomia																								
8387	NOUN	ucchiali	s	m	occhiali									acchiali															
8388	NOUN	acchiali	s	m	occhiali									ucchiali															
8389	NOUN	àtumu	s	m	atomo									àtomu															
8390	NOUN	sùrfuru	s	m	zolfo									sùrfiru	sùrfaru														
8391	NOUN	gùvitu	s	m	gomito									ùvitu															
8392	NOUN	ùvitu	s	m	gomito									gùvitu															
8393	NOUN	mùsica	s	f	musica																								
8394	NOUN	pècura	s	f	pecora									piècura															
8395	NOUN	piècura	s	f	pecora									pècura															
8396	NOUN	ìsula	s	f	isola																								
8397	NOUN	annu	s	m	anno																								
8398	NOUN	misi	s	m	mese																								
8399	NOUN	coreògrafu	s	m	coreografo																								
8400	NOUN	vavaluciu		m	chiocciola	lumaca																							
8401	NOUN	curtigghiu	s	m	cortile	pettegolezzo								cuttigghiu	cuttigliu	curtigliu													
8402	NOUN	vavaluci		m	chiocciola	lumaca																							
8403	NOUN	babbaluci		m	chiocciola	lumaca																							
8404	NOUN	babaluci		m	chiocciola	lumaca																							
8405	NOUN	baragghiu	s	m	sbadiglio									badagghiu															
8406	NOUN	paddòttula	s	f	pallottola									baddòttula															
8407	NOUN	schiticchiu	s	m	merenda	spuntino																							
8408	NOUN	bòria	s	f	vento di tramontana									bòira															
8409	VERB	sùsiri			alzare																								
8410	INTJ	arà			imprecazione tipica pozzallese-ragusana																								
8411	NOUN	rifirenna	s	f	riferimento																								
8412	NOUN	vusciularu	s	m	pappagorgia									buccularu	busciularu														
8413	NOUN	buggietta	s	f	piccola bisaccia									buggetta	buietta	bujetta													
8414	NOUN	bujetta	s	f	piccola bisaccia									buggietta	buggetta	buietta													
8415	NOUN	vurdunaru	s	m	carrettiere	mulattiere	chi guida la carovana							burdunaru															
8416	NOUN	fàvuci	s	f	falce									faci	fàuci	fanci													
